Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2021 Volkswagen Atlas 3.6L SEL Premium,"$32,999",King Kia,CVT,All-Wheel Drive,Hybrid,4.7,208 reviews,"Gaithersburg, MD","30,432 mi."
2023 Subaru Crosstrek Hybrid Base,"$31,000",Heritage Toyota Catonsville,CVT,All-Wheel Drive,Hybrid,4.4,"1,876 reviews","Baltimore, MD (6 mi.)","38,011 mi."
2023 Toyota RAV4 Prime SE,"$37,000",Heritage Toyota Catonsville,CVT,All-Wheel Drive,Hybrid,4.4,"1,876 reviews","Baltimore, MD (6 mi.)","39,075 mi."
2024 Toyota RAV4 Hybrid XLE,"$33,500",Heritage Toyota Catonsville,CVT,All-Wheel Drive,Hybrid,4.4,"1,876 reviews","Baltimore, MD (6 mi.)","18,050 mi."
2019 Toyota Highlander Hybrid Limited,"$35,000",Heritage Toyota Catonsville,CVT,All-Wheel Drive,Hybrid,4.4,"1,876 reviews","Baltimore, MD (6 mi.)","43,137 mi."
2020 Lexus NX 300h Base,"$28,637",DARCARS Lexus Of Silver Spring,CVT,All-Wheel Drive,Hybrid,4.5,"1,797 reviews","Silver Spring, MD (20 mi.)","69,175 mi."
2017 Toyota Highlander Hybrid XLE,"$22,998",Volvo Cars Annapolis,CVT,All-Wheel Drive,Hybrid,4.7,"2,617 reviews","Annapolis, MD (20 mi.)","102,756 mi."
2019 Lexus RX 450h 450H,"$36,500",DARCARS Lexus Of Silver Spring,CVT,All-Wheel Drive,Hybrid,4.5,"1,797 reviews","Silver Spring, MD (20 mi.)","47,520 mi."
2021 Toyota Sienna,"$39,800",Century Chrysler Dodge Jeep RAM,CVT,All-Wheel Drive,Hybrid,0,10 reviews,"Mt Airy, MD (27 mi.)","62,460 mi."
2024 Toyota RAV4 Prime XSE,"$46,999",DARCARS 355 Toyota Rockville,CVT,All-Wheel Drive,Hybrid,2.5,289 reviews,"Rockville, MD (28 mi.)","9,537 mi."
2022 Toyota RAV4 Hybrid XLE Premium,"$34,295",Alexandria Toyota,CVT,All-Wheel Drive,Hybrid,4.5,618 reviews,"Alexandria, VA (35 mi.)","27,167 mi."
2008 Toyota Highlander Hybrid Limited,"$7,965","Certified Car Center, Inc",CVT,All-Wheel Drive,Hybrid,4.6,370 reviews,"Fairfax, VA (42 mi.)","148,000 mi."
2023 Toyota RAV4 Prime SE,"$40,000",Waldorf Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"1,292 reviews","Waldorf, MD (44 mi.)","10,379 mi."
2020 Lexus NX 300h Base,"$35,700",Pohanka Lexus,CVT,All-Wheel Drive,Hybrid,4,"1,915 reviews","Chantilly, VA (48 mi.)","42,656 mi."
2020 Lexus NX 300h Base,"$33,550",Pohanka Lexus,CVT,All-Wheel Drive,Hybrid,4,"1,915 reviews","Chantilly, VA (48 mi.)","61,174 mi."
2023 Lexus LS 500h Base,"$95,977",Pohanka Lexus,CVT,All-Wheel Drive,Hybrid,4,"1,915 reviews","Chantilly, VA (48 mi.)","1,458 mi."
2022 Lexus NX 350h Base,"$47,250",Pohanka Lexus,CVT,All-Wheel Drive,Hybrid,4,"1,915 reviews","Chantilly, VA (48 mi.)","7,055 mi."
2022 Toyota Venza Limited,"$34,937",Volvo Cars Hagerstown,CVT,All-Wheel Drive,Hybrid,0,1 review,"Hagerstown, MD (60 mi.)","33,624 mi."
2021 Toyota Highlander Hybrid Limited,"$39,000",Chambersburg Hyundai,CVT,All-Wheel Drive,Hybrid,0,2 reviews,"Chambersburg, PA (68 mi.)","44,160 mi."
2016 Toyota RAV4 Hybrid XLE,"$14,595",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","150,900 mi."
2020 Toyota Prius LE,"$21,990",Del Toyota,CVT,All-Wheel Drive,Hybrid,4.7,"6,925 reviews","Thorndale, PA (72 mi.)","87,584 mi."
2020 Jeep Cherokee Limited,"$20,399",Al Packer Ford,CVT,All-Wheel Drive,Hybrid,4.1,"2,174 reviews","Baltimore, MD (15 mi.)","54,832 mi."
2025 Mercedes-Benz CLA 250 Base 4MATIC,"$50,990",Mercedes-Benz of Wilmington,CVT,All-Wheel Drive,Hybrid,3.6,"1,802 reviews","Wilmington, DE","4,795 mi."
2020 Toyota Highlander Hybrid Limited,"$34,000",Heritage Toyota Owings Mills,CVT,All-Wheel Drive,Hybrid,4.6,"1,364 reviews","Owings Mills, MD (13 mi.)","79,243 mi."
2020 Subaru Crosstrek Hybrid Base,"$26,240",Herb Gordon Subaru,CVT,All-Wheel Drive,Hybrid,5,"1,627 reviews","Silver Spring, MD (19 mi.)","38,954 mi."
2021 Toyota RAV4 Hybrid Limited,"$29,000",Ourisman Toyota 40,CVT,All-Wheel Drive,Hybrid,4.6,479 reviews,"Edgewood, MD (23 mi.)","53,305 mi."
2023 Toyota RAV4 Hybrid XLE,"$30,500",Ourisman Toyota 40,CVT,All-Wheel Drive,Hybrid,4.6,479 reviews,"Edgewood, MD (23 mi.)","36,298 mi."
